,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00011903182889181652,0.013551706329690258,0.004278842635253876,0.00011666777945040243,0.00011949537340895665,0.00012540868154251237,0.00011571569357515808,0.00011911875984956191,0.0001243114401154925,0.00012386259199547792,0.00010921406439696018,0.00011290408349295608,0.00011703430764071873,0.00011383568083526394,0.00012232116908349164,0.00011728644455493453,0.00011925091337822003,0.00011360473791074322,0.0001303010277944922,0.00012052584591925156,0.00012043833092357423,0.00012773074327847056,0.00012050670172629396
1,0.0,1.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,2.5862768670639988e-05,0.013551706329690258,0.004278842635253876,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05,2.5862768670639988e-05
2,1.0,0.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00012081845822376782,0.015410522798632868,0.0044830012259267655,0.00012077293142330414,0.00012265371268830458,0.00011974525045958851,0.00012600596785994637,0.0001232916307603298,0.00011945729793675172,0.00011910711366639179,0.00011699433983816679,0.0001251796431009864,0.00011591415804106654,0.00011378793382122818,0.0001371748993390112,0.0001228943814650902,0.00012043062609273642,0.0001227377289188934,0.0001171895388186818,0.000125507697116797,0.00011861639940650067,0.00012142576610109045,0.00011215020530875501
3,1.0,1.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,2.8617144697145058e-05,0.015410522798632868,0.0044830012259267655,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05,2.8617144697145058e-05
4,2.0,0.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00011867963289007124,0.014544013356042,0.004200128984020181,0.00011627167060059399,0.00010801044003079784,0.00011830702206846143,0.00011635260119428703,0.000124272591518697,0.00011523912134154418,0.0001086074962875263,0.0001259938774816036,0.00011046966530183774,0.00012121254897964861,0.00011065498638628094,0.00012074180603793078,0.00011202734069988613,0.00011886925729535697,0.0001184765531311202,0.00012207529063951446,0.00011966872118721111,0.00011814021236405576,0.0001211403629346291,0.00011495690510910472
5,2.0,1.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,2.779228673805115e-05,0.014544013356042,0.004200128984020181,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05,2.779228673805115e-05
6,3.0,0.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00011846650424458275,0.020526016473420172,0.006842005491140057,0.00011743021110169508,0.00011227061185629583,0.00011626607319904558,0.00011629615913350566,0.00011945191626109161,0.0001185369373777546,0.00012103657669195169,0.0001233977531428951,0.00012124798470726827,0.00011911296817860247,0.00011916694610052382,0.00011380931956348819,0.00011949103334054144,0.00011687182375652993,0.00011121846160667617,0.00012207240246842667,0.00011394269955756323,0.00011814515686591601,0.00011725939744945988,0.00012371612741909825
7,3.0,1.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,2.737486172753162e-05,0.020526016473420172,0.006842005491140057,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05,2.737486172753162e-05
8,4.0,0.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,0.0001347576514783057,0.014698352877417449,0.007966929232840739,0.00011944532315025739,0.00011946146968434875,0.00012782573103967444,0.0001238983127493665,0.00011151754799882452,0.0001252596884435333,0.00012301263134471542,0.0001179507012667603,0.00011826567047693717,0.0001240602426920568,0.0001206968495275503,0.00012226389320121295,0.00012344502926264588,0.00011839517400232783,0.00011724738150617505,0.00012199164017792097,0.00012018211829915327,0.00011904636265967978,0.00013832490420388033,0.00012577549277878507
9,4.0,1.0,PA,2.0,0.5,3.0,0.1,0.5,1.0,0.01,0.1,0.01,2.8931873096072845e-05,0.014698352877417449,0.007966929232840739,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05,2.8931873096072845e-05
